urls,original_index,resolved_url,http_status,datetime_utc,fetch_error,path,mimetype,encoding,body_size
https://www.governo.it/it/articolo/conversazione-telefonica-con-il-primo-ministro-del-regno-di-norvegia/26291,1476,https://www.governo.it/it/articolo/conversazione-telefonica-con-il-primo-ministro-del-regno-di-norvegia/26291,200,2025-11-01T18:21:06.125398,,baf7db6baca2a88de86b44be2b7869bf.html,text/html,utf-8,41557
https://www.governo.it/it/articolo/dichiarazione-del-presidente-del-consiglio-giorgia-meloni/26505,1471,https://www.governo.it/it/articolo/dichiarazione-del-presidente-del-consiglio-giorgia-meloni/26505,200,2025-11-01T18:21:07.515688,,cb8a8bbadd73c2d50be07d76ceefa39e.html,text/html,utf-8,41936
https://www.governo.it/it/articolo/dichiarazione-del-presidente-del-consiglio-giorgia-meloni/20992,1395,https://www.governo.it/it/articolo/dichiarazione-del-presidente-del-consiglio-giorgia-meloni/20992,200,2025-11-01T18:21:09.085829,,87f80898ade5cd92b8582c446066cc4d.html,text/html,utf-8,42725
https://www.governo.it/it/articolo/dichiarazione-congiunta-sul-dialogo-facilitato-dallue-sulla-normalizzazione-delle-relazioni,919,https://www.governo.it/it/articolo/dichiarazione-congiunta-sul-dialogo-facilitato-dallue-sulla-normalizzazione-delle-relazioni,200,2025-11-01T18:21:10.709374,,4fbb88a962bf221992c24249d1dfb88a.html,text/html,utf-8,45215
https://www.governo.it/it/articolo/consiglio-dei-ministri-n-113/27568,1643,https://www.governo.it/it/articolo/consiglio-dei-ministri-n-113/27568,200,2025-11-01T18:21:11.877310,,f42df1ca2d3f7ab10951a83d4aac7fec.html,text/html,utf-8,40212
https://www.governo.it/it/articolo/colloquio-telefonico-con-il-presidente-del-congo/22451,1558,https://www.governo.it/it/articolo/colloquio-telefonico-con-il-presidente-del-congo/22451,200,2025-11-01T18:21:13.498232,,cd3f1d5ef007225f98b9b551dc79e2c0.html,text/html,utf-8,42206
https://www.governo.it/it/articolo/anniversario-della-morte-di-enrico-mattei-dichiarazione-del-presidente-meloni/24063,1119,https://www.governo.it/it/articolo/anniversario-della-morte-di-enrico-mattei-dichiarazione-del-presidente-meloni/24063,200,2025-11-01T18:21:15.127924,,3d16b545a3b233f77f7dc3589a5e5ecb.html,text/html,utf-8,42209
https://www.governo.it/it/articolo/incontro-tra-governo-e-rappresentanti-degli-ordini-professionali/26338,875,https://www.governo.it/it/articolo/incontro-tra-governo-e-rappresentanti-degli-ordini-professionali/26338,200,2025-11-01T18:21:16.321382,,1434fbb3651b8023239d0e2cd601dd2d.html,text/html,utf-8,43803
https://www.governo.it/it/articolo/sicurezza-sul-lavoro-incontro-tra-il-governo-e-le-associazioni-datoriali-palazzo-chigi,1623,https://www.governo.it/it/articolo/sicurezza-sul-lavoro-incontro-tra-il-governo-e-le-associazioni-datoriali-palazzo-chigi,200,2025-11-01T18:21:17.960097,,73863c8fcec3f82173c9b13a137e6e77.html,text/html,utf-8,42352
https://www.governo.it/it/articolo/pnrr-inviata-oggi-alla-commissione-europea-la-richiesta-di-pagamento-della-quinta-rata,1706,https://www.governo.it/it/articolo/pnrr-inviata-oggi-alla-commissione-europea-la-richiesta-di-pagamento-della-quinta-rata,200,2025-11-01T18:21:19.561759,,6c476171ba2c242e816fd9d8e1df2b53.html,text/html,utf-8,44234
https://www.governo.it/it/articolo/artemis-1-la-dichiarazione-del-presidente-giorgia-meloni/21018,1394,https://www.governo.it/it/articolo/artemis-1-la-dichiarazione-del-presidente-giorgia-meloni/21018,200,2025-11-01T18:21:21.142417,,647666b7142cadf5d91354d7b02a4ebb.html,text/html,utf-8,41888
https://www.governo.it/it/articolo/palazzo-chigi-la-cabina-di-regia-pnnr-tra-i-punti-all-ordine-del-giorno-l-avvio-della/25820,887,https://www.governo.it/it/articolo/palazzo-chigi-la-cabina-di-regia-pnnr-tra-i-punti-all-ordine-del-giorno-l-avvio-della/25820,200,2025-11-01T18:21:22.906734,,ddc9de53504f9e7e69d103b2e240704f.html,text/html,utf-8,44860
https://www.governo.it/it/articolo/visita-del-presidente-meloni-iraq/21376,986,https://www.governo.it/it/articolo/visita-del-presidente-meloni-iraq/21376,200,2025-11-01T18:21:24.745342,,d8f7afe1eb1f876449364da0a584a3c7.html,text/html,utf-8,44300
https://www.governo.it/it/articolo/migrazione-soddisfazione-le-parole-del-presidente-del-consiglio-europeo/22035,1168,https://www.governo.it/it/articolo/migrazione-soddisfazione-le-parole-del-presidente-del-consiglio-europeo/22035,200,2025-11-01T18:21:26.293501,,9606923e97074ff5f3def694b1f49ac4.html,text/html,utf-8,44511
